,Step_size,Iteration,Conditional guide,Guide Mode,Path,guide_scale,guide_scale_base,accurancy,count_att,count_diff
0,12,1,False,,1,0,0.0,10.4,8953.0,7.0
1,50,4,False,,1,0,0.0,84.86,858.0,656.0
2,14,7,False,,1,0,0.0,81.11,1547.0,342.0
3,12,8,False,,1,0,0.0,78.9,1758.0,352.0
4,40,5,False,,1,0,0.0,85.29,877.0,594.0
5,11,9,False,,1,0,0.0,78.18,1834.0,348.0
6,33,6,False,,1,0,0.0,85.0,922.0,578.0
7,10,10,False,,1,0,0.0,77.11,1940.0,349.0
8,9,11,False,,1,0,0.0,75.26,2106.0,368.0
9,29,7,False,,1,0,0.0,85.32,924.0,544.0
10,8,12,False,,1,0,0.0,73.53,2287.0,360.0
11,25,8,False,,1,0,0.0,85.12,969.0,519.0
12,8,13,False,,1,0,0.0,73.5,2234.0,416.0
13,7,14,False,,1,0,0.0,71.52,2443.0,405.0
14,22,9,False,,1,0,0.0,84.95,1011.0,494.0
15,7,15,False,,1,0,0.0,72.09,2350.0,441.0
16,20,10,False,,1,0,0.0,84.4,1053.0,507.0
17,6,16,False,,1,0,0.0,69.24,2694.0,382.0
18,6,17,False,,1,0,0.0,70.0,2596.0,404.0
19,18,11,False,,1,0,0.0,83.45,1143.0,512.0
20,6,18,False,,1,0,0.0,70.48,2503.0,449.0
21,17,12,False,,1,0,0.0,83.15,1149.0,536.0
22,5,19,False,,1,0,0.0,67.44,2834.0,422.0
23,5,20,False,,1,0,0.0,67.87,2779.0,434.0
24,15,13,False,,1,0,0.0,82.81,1206.0,513.0
25,5,21,False,,1,0,0.0,68.01,2740.0,459.0
26,14,14,False,,1,0,0.0,81.26,1323.0,551.0
27,5,22,False,,1,0,0.0,68.79,2707.0,414.0
28,4,23,False,,1,0,0.0,64.78,3110.0,412.0
29,13,15,False,,1,0,0.0,81.0,1361.0,539.0
30,4,24,False,,1,0,0.0,65.71,3032.0,397.0
31,12,16,False,,1,0,0.0,80.1,1419.0,571.0
32,4,25,False,,1,0,0.0,66.04,2993.0,403.0
33,10,1,False,,1,0,0.0,2.82,9716.0,2.0
34,10,2,False,,1,0,0.0,28.75,7100.0,25.0
35,4,26,False,,1,0,0.0,66.01,2981.0,418.0
36,12,17,False,,1,0,0.0,79.51,1464.0,585.0
37,10,3,False,,1,0,0.0,50.26,4904.0,70.0
38,4,27,False,,1,0,0.0,66.62,2850.0,488.0
39,10,4,False,,1,0,0.0,60.85,3797.0,118.0
40,20,20,False,,1,0,0.0,82.55,1035.0,710.0
41,11,18,False,,1,0,0.0,79.2,1492.0,588.0
42,10,5,False,,1,0,0.0,67.77,3037.0,186.0
43,4,28,False,,1,0,0.0,66.59,2866.0,475.0
44,10,6,False,,1,0,0.0,70.9,2702.0,208.0
45,3,29,False,,1,0,0.0,61.49,3499.0,352.0
46,11,19,False,,1,0,0.0,78.79,1501.0,620.0
47,10,7,False,,1,0,0.0,73.28,2403.0,269.0
